"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  6.59    ,  0.20  
MgO     ,  4.60    ,  0.17  
Al2O3   , 14.65    ,  0.38  
SiO2    , 48.87    ,  0.54  
P2O5    ,  0.85    ,  0.05  
SO3     ,  2.81    ,  0.08  
Cl      ,  0.95    ,  0.03  
K2O     ,  1.89    ,  0.06  
CaO     ,  6.78    ,  0.08  
TiO2    ,  0.73    ,  0.03  
Cr2O3   ,  0.04    ,  0.01  
MnO     ,  0.23    ,  0.02  
FeO     , 10.94    ,  0.13  
Ni      ,  0.0061  ,  0.0020
Zn      ,  0.0319  ,  0.0015
Br      ,  0.0094  ,  0.0005
