"oxide",  "APXS analysis ver 2", "statistical uncertainty (precision)"
Na2O    ,    1.88  ,    0.14
MgO     ,    9.16  ,    0.25
Al2O3   ,    6.62  ,    0.19
SiO2    ,   37.43  ,    0.43
P2O5    ,    0.95  ,    0.07
SO3     ,   15.64  ,    0.28
Cl      ,    1.30  ,    0.05
K2O     ,    0.55  ,    0.02
CaO     ,    5.62  ,    0.08
TiO2    ,    0.84  ,    0.05
Cr2O3   ,    0.36  ,    0.03
MnO     ,    0.39  ,    0.03
FeO     ,   18.89  ,    0.20
Ni      ,  0.0752  ,  0.0050
Zn      ,  0.1107  ,  0.0040
Br      ,  0.1241  ,  0.0040
